Institution Name,Year,Month,Items
American Museum of Natural History Library,2009,6,122
American Museum of Natural History Library,2009,7,1
American Museum of Natural History Library,2009,8,7
American Museum of Natural History Library,2009,9,1
American Museum of Natural History Library,2009,11,2
American Museum of Natural History Library,2008,5,9
American Museum of Natural History Library,2008,7,48
American Museum of Natural History Library,2008,8,89
American Museum of Natural History Library,2008,9,169
American Museum of Natural History Library,2008,10,388
American Museum of Natural History Library,2008,11,424
American Museum of Natural History Library,2008,12,116
American Museum of Natural History Library,2009,1,11
American Museum of Natural History Library,2009,2,151
American Museum of Natural History Library,2009,3,239
American Museum of Natural History Library,2009,4,24
American Museum of Natural History Library,2009,5,201
American Museum of Natural History Library,2013,4,1
American Museum of Natural History Library,2013,6,1
American Museum of Natural History Library,2013,5,28
American Museum of Natural History Library,2013,9,152
American Museum of Natural History Library,2013,10,9
American Museum of Natural History Library,2012,10,1
American Museum of Natural History Library,2012,9,1
American Museum of Natural History Library,2012,8,11
American Museum of Natural History Library,2013,1,27
American Museum of Natural History Library,2012,1,18
American Museum of Natural History Library,2011,12,4
American Museum of Natural History Library,2011,11,1
American Museum of Natural History Library,2012,3,2
American Museum of Natural History Library,2012,4,1
American Museum of Natural History Library,2012,5,9
American Museum of Natural History Library,2011,5,96
American Museum of Natural History Library,2011,4,104
American Museum of Natural History Library,2011,9,22
American Museum of Natural History Library,2011,10,7
American Museum of Natural History Library,2014,5,63
American Museum of Natural History Library,2014,3,1
American Museum of Natural History Library,2013,12,3
American Museum of Natural History Library,2013,11,120
American Museum of Natural History Library,2014,2,96
Archives of Ontario (archive.org),2011,12,1
ASC - York University Libraries (archive.org),2009,11,49
ASC - York University Libraries (archive.org),2009,12,13
ASC - York University Libraries (archive.org),2014,4,27
ASC - York University Libraries (archive.org),2014,5,10
ASC - York University Libraries (archive.org),2014,6,9
Australian Museum,2011,8,2
BHL-Europe,2012,1,1
BHL-Europe,2009,8,1
Biblioteca Digital del Real Jardin Botanico de Madrid,2014,5,41
Biblioteca Digital del Real Jardin Botanico de Madrid,2014,4,104
Biblioteca Digital del Real Jardin Botanico de Madrid,2014,1,6217
"Booth Library, Eastern Illinois University (archive.org)",2009,11,1
Boston College Libraries (archive.org),2009,11,1
Boston College Libraries (archive.org),2010,12,21
Boston College Libraries (archive.org),2010,8,25
Boston College Libraries (archive.org),2010,9,1
Boston College Libraries (archive.org),2010,6,6
Boston College Libraries (archive.org),2010,5,9
Boston College Libraries (archive.org),2011,12,1
Boston College Libraries (archive.org),2011,8,15
Boston College Libraries (archive.org),2014,3,3
Boston Public Library (archive.org),2014,5,3
Boston Public Library (archive.org),2014,1,1
Boston Public Library (archive.org),2013,11,4
Boston Public Library (archive.org),2013,12,1
Boston Public Library (archive.org),2011,8,1
Boston Public Library (archive.org),2011,7,14
Boston Public Library (archive.org),2011,9,4
Boston Public Library (archive.org),2011,4,7
Boston Public Library (archive.org),2011,5,7
Boston Public Library (archive.org),2011,12,1
Boston Public Library (archive.org),2011,11,1
Boston Public Library (archive.org),2012,1,14
Boston Public Library (archive.org),2012,3,6
Boston Public Library (archive.org),2013,2,19
Boston Public Library (archive.org),2012,8,1
Boston Public Library (archive.org),2012,7,1
Boston Public Library (archive.org),2013,9,1
Boston Public Library (archive.org),2013,7,10
Boston Public Library (archive.org),2013,6,1
Boston Public Library (archive.org),2010,5,6
Boston Public Library (archive.org),2010,6,12
Boston Public Library (archive.org),2010,7,27
Boston Public Library (archive.org),2010,4,5
Boston Public Library (archive.org),2010,3,17
Boston Public Library (archive.org),2010,2,20
Boston Public Library (archive.org),2010,9,4
Boston Public Library (archive.org),2010,8,2
Boston Public Library (archive.org),2010,11,1
Boston Public Library (archive.org),2010,10,11
Boston Public Library (archive.org),2010,12,4
Boston Public Library (archive.org),2011,1,2
Boston Public Library (archive.org),2011,3,4
Boston Public Library (archive.org),2011,2,4
Boston Public Library (archive.org),2009,11,580
Boston Public Library (archive.org),2009,12,11
Boston Public Library (archive.org),2008,2,1
Brandeis University Libraries (archive.org),2009,11,3
Brandeis University Libraries (archive.org),2010,1,16
Brigham Young University-Idaho (archive.org),2012,3,2
Brigham Young University-Idaho (archive.org),2012,5,5
Brigham Young University-Idaho (archive.org),2012,1,1
Brigham Young University-Idaho (archive.org),2012,2,1
Brock University (archive.org),2012,12,51
Brown University Library (archive.org),2009,11,20
Bureau of Land Management (archive.org),2012,12,9
Bureau of Land Management (archive.org),2012,11,2
Bureau of Land Management (archive.org),2013,2,51
Bureau of Land Management (archive.org),2013,1,10
Bureau of Land Management (archive.org),2012,7,5
Bureau of Land Management (archive.org),2012,8,5
Bureau of Land Management (archive.org),2012,9,3
Bureau of Land Management (archive.org),2012,10,3
Bureau of Land Management (archive.org),2013,5,3
Bureau of Land Management (archive.org),2013,4,5
Bureau of Land Management (archive.org),2013,3,5
Bureau of Land Management (archive.org),2011,12,5
Bureau of Land Management (archive.org),2012,5,1
Bureau of Land Management (archive.org),2012,6,2
Bureau of Land Management (archive.org),2012,3,119
Bureau of Land Management (archive.org),2012,4,26
California Academy of Sciences Library,2012,4,9
California Academy of Sciences Library,2012,3,173
California Academy of Sciences Library,2012,6,40
California Academy of Sciences Library,2012,5,71
California Academy of Sciences Library,2011,12,72
California Academy of Sciences Library,2012,2,1
California Academy of Sciences Library,2011,9,16
California Academy of Sciences Library,2011,10,198
California Academy of Sciences Library,2011,7,111
California Academy of Sciences Library,2011,8,11
California Academy of Sciences Library,2013,4,1
California Academy of Sciences Library,2009,11,25
California Academy of Sciences Library,2014,2,3
California Academy of Sciences Library,2014,3,2
California Department of Fish and Game (archive.org),2009,11,258
California State Library (archive.org),2012,2,10
Cambridge University Library,2011,5,1
Cambridge University Library,2011,4,5
Cambridge University Library,2011,2,139
Cambridge University Library,2011,3,116
Cambridge University Library,2011,1,3
Canadiana.org (archive.org),2011,1,19
Canadiana.org (archive.org),2010,12,85
Canadiana.org (archive.org),2011,3,5
Canadiana.org (archive.org),2011,2,53
Canadiana.org (archive.org),2010,10,38
Canadiana.org (archive.org),2010,11,30
Canadiana.org (archive.org),2010,8,44
Canadiana.org (archive.org),2010,9,57
Canadiana.org (archive.org),2010,1,23
Canadiana.org (archive.org),2010,2,162
Canadiana.org (archive.org),2010,3,28
Canadiana.org (archive.org),2010,4,1
Canadiana.org (archive.org),2010,7,78
Canadiana.org (archive.org),2010,6,23
Canadiana.org (archive.org),2009,11,80
Canadiana.org (archive.org),2009,12,764
Canadiana.org (archive.org),2011,4,37
Canadiana.org (archive.org),2011,6,68
Canadiana.org (archive.org),2011,5,22
Canadiana.org (archive.org),2011,8,19
Canadiana.org (archive.org),2011,7,4
Canadiana.org (archive.org),2011,10,14
Canadiana.org (archive.org),2011,9,10
Canadiana.org (archive.org),2012,2,5
Canadiana.org (archive.org),2012,1,46
Canadiana.org (archive.org),2011,12,59
Canadiana.org (archive.org),2011,11,18
Canadiana.org (archive.org),2012,5,28
Canadiana.org (archive.org),2012,6,21
Canadiana.org (archive.org),2012,3,68
Canadiana.org (archive.org),2012,4,53
Canadiana.org (archive.org),2013,4,115
Canadiana.org (archive.org),2013,3,41
Canadiana.org (archive.org),2013,5,130
Canadiana.org (archive.org),2013,6,77
Canadiana.org (archive.org),2013,7,13
Canadiana.org (archive.org),2013,8,12
Canadiana.org (archive.org),2013,9,58
Canadiana.org (archive.org),2013,10,14
Canadiana.org (archive.org),2012,10,74
Canadiana.org (archive.org),2012,9,38
Canadiana.org (archive.org),2012,8,27
Canadiana.org (archive.org),2012,7,29
Canadiana.org (archive.org),2013,1,32
Canadiana.org (archive.org),2013,2,32
Canadiana.org (archive.org),2012,11,29
Canadiana.org (archive.org),2012,12,65
Canadiana.org (archive.org),2014,3,3
"Claire T. Carney Library, UMass Dartmouth (archive.org)",2009,11,6
"Claire T. Carney Library, UMass Dartmouth (archive.org)",2010,7,1
Columbia University Libraries (archive.org),2010,7,14
Columbia University Libraries (archive.org),2010,6,133
Columbia University Libraries (archive.org),2010,5,170
Columbia University Libraries (archive.org),2010,8,3
Columbia University Libraries (archive.org),2010,11,7
Columbia University Libraries (archive.org),2010,10,2
Columbia University Libraries (archive.org),2010,12,1
Columbia University Libraries (archive.org),2011,1,6
Columbia University Libraries (archive.org),2009,11,19
Columbia University Libraries (archive.org),2012,11,5
Columbia University Libraries (archive.org),2013,2,2
Columbia University Libraries (archive.org),2012,9,3
Columbia University Libraries (archive.org),2012,10,2
Columbia University Libraries (archive.org),2013,10,4
Columbia University Libraries (archive.org),2013,9,3
Columbia University Libraries (archive.org),2013,6,3
Columbia University Libraries (archive.org),2013,3,3
Columbia University Libraries (archive.org),2011,12,1
Columbia University Libraries (archive.org),2012,1,2
Columbia University Libraries (archive.org),2014,3,10
Columbia University Libraries (archive.org),2014,4,1
Columbia University Libraries (archive.org),2014,6,1
Columbia University Libraries (archive.org),2014,1,4
Columbia University Libraries (archive.org),2013,12,13
Columbia University Libraries (archive.org),2013,11,11
Cornell University Library,2012,1,4090
Cornell University Library,2011,7,1
Cornell University Library,2011,5,6
Cornell University Library,2013,3,1
Cornell University Library,2013,6,107
Cornell University Library,2013,9,57
Cornell University Library,2013,8,109
Cornell University Library,2013,7,121
Cornell University Library,2012,9,35
"Dorothy H. Hoover Library, Ontario College of Art & Design (archive.org)",2009,11,8
Duke University Libraries (archive.org),2009,11,1
Duke University Libraries (archive.org),2011,1,1
Duke University Libraries (archive.org),2010,8,3
Duke University Libraries (archive.org),2010,7,1
Duke University Libraries (archive.org),2012,10,1
Duke University Libraries (archive.org),2013,8,3
Duke University Libraries (archive.org),2013,10,1
Duke University Libraries (archive.org),2013,5,2
Duke University Libraries (archive.org),2011,5,7
Duke University Libraries (archive.org),2011,6,3
Duke University Libraries (archive.org),2011,4,1
Duke University Libraries (archive.org),2011,7,4
Duke University Libraries (archive.org),2011,9,4
Duke University Libraries (archive.org),2011,10,9
Duke University Libraries (archive.org),2011,12,2
Duke University Libraries (archive.org),2013,11,1
Duke University Libraries (archive.org),2014,1,1
Duke University Libraries (archive.org),2014,3,2
Earth Sciences - University of Toronto (archive.org),2011,5,1
Earth Sciences - University of Toronto (archive.org),2010,7,1
Earth Sciences - University of Toronto (archive.org),2009,11,270
Emmanuel - University of Toronto (archive.org),2009,11,2
Environmental Services & Library Systems (archive.org),2009,11,2
FAO Regional Office for Africa (archive.org),2009,11,45
FAO Regional Office for Africa (archive.org),2008,4,3
FAO Regional Office for Africa (archive.org),2013,1,9
Field Museum Library,2012,7,47
Field Museum Library,2012,8,8
Field Museum Library,2013,6,2
Field Museum Library,2013,4,33
Field Museum Library,2013,8,1
Field Museum Library,2011,5,20
Field Museum Library,2011,4,1
Field Museum Library,2011,10,18
Field Museum Library,2011,12,23
Field Museum Library,2011,11,40
Field Museum Library,2008,1,6
Field Museum Library,2008,2,131
Field Museum Library,0,0,1
Field Museum Library,2008,8,3
Field Museum Library,2008,7,1
Field Museum Library,2008,5,63
Field Museum Library,2008,6,1
Field Museum Library,2009,5,1
Field Museum Library,2008,11,1
Field Museum Library,2009,11,4
Field Museum Library,2009,7,1
Field Museum Library,2009,6,19
Field Museum Library,2010,7,3
Field Museum Library,2010,5,9
Field Museum Library,2010,6,10
Field Museum Library,2010,4,7
Field Museum Library,2010,1,15
Field Museum Library,2010,8,16
Field Museum Library,2011,1,6
Field Museum Library,2010,12,5
Field Museum Library,2011,2,1
Field Museum Library,2014,3,15
Fisher - University of Toronto (archive.org),2014,4,2
Fisher - University of Toronto (archive.org),2014,6,13
Fisher - University of Toronto (archive.org),2014,5,36
Fisher - University of Toronto (archive.org),2014,1,3
Fisher - University of Toronto (archive.org),2014,2,11
Fisher - University of Toronto (archive.org),2013,11,2
Fisher - University of Toronto (archive.org),2013,12,4
Fisher - University of Toronto (archive.org),2011,2,2
Fisher - University of Toronto (archive.org),2010,12,10
Fisher - University of Toronto (archive.org),2011,1,4
Fisher - University of Toronto (archive.org),2010,8,9
Fisher - University of Toronto (archive.org),2010,9,7
Fisher - University of Toronto (archive.org),2010,10,2
Fisher - University of Toronto (archive.org),2010,1,43
Fisher - University of Toronto (archive.org),2010,2,25
Fisher - University of Toronto (archive.org),2010,3,4
Fisher - University of Toronto (archive.org),2010,6,9
Fisher - University of Toronto (archive.org),2010,5,2
Fisher - University of Toronto (archive.org),2010,7,7
Fisher - University of Toronto (archive.org),2009,12,60
Fisher - University of Toronto (archive.org),2009,11,16
Fisher - University of Toronto (archive.org),2012,1,5
Fisher - University of Toronto (archive.org),2012,6,1
Fisher - University of Toronto (archive.org),2011,4,2
Fisher - University of Toronto (archive.org),2011,5,1
Fisher - University of Toronto (archive.org),2012,8,3
Francis A. Countway Library of Medicine (archive.org),2012,10,1
Francis A. Countway Library of Medicine (archive.org),2012,9,2
Francis A. Countway Library of Medicine (archive.org),2012,11,2
Francis A. Countway Library of Medicine (archive.org),2011,5,25
Francis A. Countway Library of Medicine (archive.org),2011,4,2
Francis A. Countway Library of Medicine (archive.org),2011,6,28
Francis A. Countway Library of Medicine (archive.org),2011,10,11
Francis A. Countway Library of Medicine (archive.org),2011,9,12
Francis A. Countway Library of Medicine (archive.org),2011,7,16
Francis A. Countway Library of Medicine (archive.org),2011,8,13
Francis A. Countway Library of Medicine (archive.org),2012,6,10
Francis A. Countway Library of Medicine (archive.org),2012,3,13
Francis A. Countway Library of Medicine (archive.org),2012,1,5
Francis A. Countway Library of Medicine (archive.org),2011,11,5
Francis A. Countway Library of Medicine (archive.org),2011,12,5
Francis A. Countway Library of Medicine (archive.org),2010,7,1
Francis A. Countway Library of Medicine (archive.org),2010,6,9
Francis A. Countway Library of Medicine (archive.org),2010,4,5
Francis A. Countway Library of Medicine (archive.org),2010,10,8
Francis A. Countway Library of Medicine (archive.org),2010,11,5
Francis A. Countway Library of Medicine (archive.org),2010,9,1
Francis A. Countway Library of Medicine (archive.org),2010,8,34
Francis A. Countway Library of Medicine (archive.org),2011,1,1
Francis A. Countway Library of Medicine (archive.org),2010,12,5
Francis A. Countway Library of Medicine (archive.org),2011,2,2
Francis A. Countway Library of Medicine (archive.org),2011,3,1
Frost - York University Libraries (archive.org),2009,11,1
Gerstein - University of Toronto (archive.org),2009,11,4125
Gerstein - University of Toronto (archive.org),2009,12,551
Gerstein - University of Toronto (archive.org),2011,2,1
Gerstein - University of Toronto (archive.org),2011,1,1
Gerstein - University of Toronto (archive.org),2010,8,1
Gerstein - University of Toronto (archive.org),2010,4,1
Gerstein - University of Toronto (archive.org),2010,2,4
Gerstein - University of Toronto (archive.org),2010,1,119
Gerstein - University of Toronto (archive.org),2010,6,164
Gerstein - University of Toronto (archive.org),2010,5,68
Gerstein - University of Toronto (archive.org),2010,7,57
Gerstein - University of Toronto (archive.org),2012,5,1
Gerstein - University of Toronto (archive.org),2011,5,1
Gerstein - University of Toronto (archive.org),2013,1,9
Gerstein - University of Toronto (archive.org),2013,10,1
Gerstein - University of Toronto (archive.org),2013,9,9
Harold B. Lee Library (archive.org),2013,9,17
Harold B. Lee Library (archive.org),2013,10,3
Harold B. Lee Library (archive.org),2013,8,10
Harold B. Lee Library (archive.org),2013,7,2
Harold B. Lee Library (archive.org),2013,4,2
Harold B. Lee Library (archive.org),2013,6,2
Harold B. Lee Library (archive.org),2013,5,1
Harold B. Lee Library (archive.org),2012,12,1
Harold B. Lee Library (archive.org),2012,8,1
Harold B. Lee Library (archive.org),2012,7,4
Harold B. Lee Library (archive.org),2011,5,6
Harold B. Lee Library (archive.org),2011,6,18
Harold B. Lee Library (archive.org),2011,4,2
Harold B. Lee Library (archive.org),2011,8,8
Harold B. Lee Library (archive.org),2011,7,8
Harold B. Lee Library (archive.org),2011,9,5
Harold B. Lee Library (archive.org),2011,10,1
Harold B. Lee Library (archive.org),2012,5,1
Harold B. Lee Library (archive.org),2012,3,6
Harold B. Lee Library (archive.org),2012,4,1
Harold B. Lee Library (archive.org),2011,11,7
Harold B. Lee Library (archive.org),2012,1,5
Harold B. Lee Library (archive.org),2012,2,2
Harold B. Lee Library (archive.org),2010,7,6
Harold B. Lee Library (archive.org),2010,5,2
Harold B. Lee Library (archive.org),2010,6,2
Harold B. Lee Library (archive.org),2010,4,16
Harold B. Lee Library (archive.org),2010,9,1
Harold B. Lee Library (archive.org),2010,10,5
Harold B. Lee Library (archive.org),2011,2,4
Harold B. Lee Library (archive.org),2011,3,4
Harold B. Lee Library (archive.org),2009,11,3
Harold B. Lee Library (archive.org),2013,12,3
Harold B. Lee Library (archive.org),2013,11,12
Harold B. Lee Library (archive.org),2014,2,13
Harold B. Lee Library (archive.org),2014,1,7
Harold B. Lee Library (archive.org),2014,6,1
Harvard University Botany Libraries,2014,6,18
Harvard University Botany Libraries,2014,5,1
Harvard University Botany Libraries,2014,4,63
Harvard University Botany Libraries,2014,3,1
Harvard University Botany Libraries,2014,1,121
Harvard University Botany Libraries,2014,2,6
Harvard University Botany Libraries,2006,8,2
Harvard University Botany Libraries,2009,9,1
Harvard University Botany Libraries,2012,8,36
Harvard University Botany Libraries,2013,10,105
Harvard University Botany Libraries,2013,9,3
"Harvard University, MCZ, Ernst Mayr Library",2013,9,6
"Harvard University, MCZ, Ernst Mayr Library",2013,10,130
"Harvard University, MCZ, Ernst Mayr Library",2013,7,157
"Harvard University, MCZ, Ernst Mayr Library",2013,8,27
"Harvard University, MCZ, Ernst Mayr Library",2012,8,87
"Harvard University, MCZ, Ernst Mayr Library",2012,7,1
"Harvard University, MCZ, Ernst Mayr Library",2012,10,2
"Harvard University, MCZ, Ernst Mayr Library",2012,12,6
"Harvard University, MCZ, Ernst Mayr Library",2013,1,341
"Harvard University, MCZ, Ernst Mayr Library",2013,2,14
"Harvard University, MCZ, Ernst Mayr Library",2012,2,3
"Harvard University, MCZ, Ernst Mayr Library",2012,1,47
"Harvard University, MCZ, Ernst Mayr Library",2011,11,53
"Harvard University, MCZ, Ernst Mayr Library",2011,12,143
"Harvard University, MCZ, Ernst Mayr Library",2012,4,83
"Harvard University, MCZ, Ernst Mayr Library",2012,3,77
"Harvard University, MCZ, Ernst Mayr Library",2012,6,1
"Harvard University, MCZ, Ernst Mayr Library",2011,10,129
"Harvard University, MCZ, Ernst Mayr Library",2011,9,57
"Harvard University, MCZ, Ernst Mayr Library",2011,7,93
"Harvard University, MCZ, Ernst Mayr Library",2011,8,179
"Harvard University, MCZ, Ernst Mayr Library",2011,4,15
"Harvard University, MCZ, Ernst Mayr Library",2011,6,15
"Harvard University, MCZ, Ernst Mayr Library",2011,5,28
"Harvard University, MCZ, Ernst Mayr Library",2009,9,3
"Harvard University, MCZ, Ernst Mayr Library",2009,8,25
"Harvard University, MCZ, Ernst Mayr Library",2009,6,257
"Harvard University, MCZ, Ernst Mayr Library",2009,7,307
"Harvard University, MCZ, Ernst Mayr Library",2009,12,174
"Harvard University, MCZ, Ernst Mayr Library",2009,11,75
"Harvard University, MCZ, Ernst Mayr Library",2008,11,204
"Harvard University, MCZ, Ernst Mayr Library",2009,1,209
"Harvard University, MCZ, Ernst Mayr Library",2008,12,53
"Harvard University, MCZ, Ernst Mayr Library",2008,10,278
"Harvard University, MCZ, Ernst Mayr Library",2008,9,348
"Harvard University, MCZ, Ernst Mayr Library",2009,5,193
"Harvard University, MCZ, Ernst Mayr Library",2009,4,289
"Harvard University, MCZ, Ernst Mayr Library",2009,3,407
"Harvard University, MCZ, Ernst Mayr Library",2009,2,125
"Harvard University, MCZ, Ernst Mayr Library",2008,6,275
"Harvard University, MCZ, Ernst Mayr Library",2008,5,994
"Harvard University, MCZ, Ernst Mayr Library",2008,7,228
"Harvard University, MCZ, Ernst Mayr Library",2008,8,159
"Harvard University, MCZ, Ernst Mayr Library",2008,2,67
"Harvard University, MCZ, Ernst Mayr Library",2008,3,8
"Harvard University, MCZ, Ernst Mayr Library",2008,4,101
"Harvard University, MCZ, Ernst Mayr Library",2011,3,164
"Harvard University, MCZ, Ernst Mayr Library",2011,2,214
"Harvard University, MCZ, Ernst Mayr Library",2011,1,38
"Harvard University, MCZ, Ernst Mayr Library",2010,12,196
"Harvard University, MCZ, Ernst Mayr Library",2010,10,192
"Harvard University, MCZ, Ernst Mayr Library",2010,11,5
"Harvard University, MCZ, Ernst Mayr Library",2010,9,2
"Harvard University, MCZ, Ernst Mayr Library",2010,8,50
"Harvard University, MCZ, Ernst Mayr Library",2010,4,43
"Harvard University, MCZ, Ernst Mayr Library",2010,3,20
"Harvard University, MCZ, Ernst Mayr Library",2010,1,117
"Harvard University, MCZ, Ernst Mayr Library",2010,2,101
"Harvard University, MCZ, Ernst Mayr Library",2010,6,78
"Harvard University, MCZ, Ernst Mayr Library",2010,5,145
"Harvard University, MCZ, Ernst Mayr Library",2010,7,160
"Harvard University, MCZ, Ernst Mayr Library",2009,10,127
"Harvard University, MCZ, Ernst Mayr Library",2014,2,2
"Harvard University, MCZ, Ernst Mayr Library",2014,1,169
"Harvard University, MCZ, Ernst Mayr Library",2014,3,1
"Harvard University, MCZ, Ernst Mayr Library",2014,4,81
"Harvard University, MCZ, Ernst Mayr Library",2014,5,7
"Harvard University, MCZ, Ernst Mayr Library",2014,6,10
"Institute of Botany, CAS",2014,5,77
"Institute of Botany, CAS",2014,4,25
"Institute of Botany, CAS",2011,10,8
"Institute of Botany, CAS",2012,3,1
"Institute of Botany, CAS",2011,11,884
"Institute of Botany, CAS",2013,10,26
Internet Archive (archive.org),2013,10,19
Internet Archive (archive.org),2013,9,12
Internet Archive (archive.org),2013,5,2
Internet Archive (archive.org),2013,4,1
Internet Archive (archive.org),2012,12,1
Internet Archive (archive.org),2012,11,7
Internet Archive (archive.org),2012,10,2
Internet Archive (archive.org),2012,9,1
Internet Archive (archive.org),2012,7,3
Internet Archive (archive.org),2011,11,20
Internet Archive (archive.org),2012,2,1
Internet Archive (archive.org),2012,3,1
Internet Archive (archive.org),2012,4,2
Internet Archive (archive.org),2011,10,2
Internet Archive (archive.org),2011,5,1
Internet Archive (archive.org),2011,6,1
Internet Archive (archive.org),2011,4,1
Internet Archive (archive.org),2010,5,29
Internet Archive (archive.org),2010,2,26
Internet Archive (archive.org),2010,1,9
Internet Archive (archive.org),2010,3,17
Internet Archive (archive.org),2010,4,3
Internet Archive (archive.org),2010,8,6
Internet Archive (archive.org),2010,11,3
Internet Archive (archive.org),2010,10,6
Internet Archive (archive.org),2011,1,3
Internet Archive (archive.org),2009,11,15
Internet Archive (archive.org),2009,12,12
Internet Archive (archive.org),2013,12,1
John Adams Library at the Boston Public Library (archive.org),2009,11,49
John Adams Library at the Boston Public Library (archive.org),2011,1,2
John Adams Library at the Boston Public Library (archive.org),2011,2,4
John Adams Library at the Boston Public Library (archive.org),2010,8,5
John Adams Library at the Boston Public Library (archive.org),2010,9,1
John Adams Library at the Boston Public Library (archive.org),2010,1,6
John Adams Library at the Boston Public Library (archive.org),2010,5,3
John Adams Library at the Boston Public Library (archive.org),2012,8,2
John Carter Brown Library (archive.org),2012,8,9
John Carter Brown Library (archive.org),2012,7,1
John Carter Brown Library (archive.org),2012,9,3
John Carter Brown Library (archive.org),2012,10,2
John Carter Brown Library (archive.org),2012,11,5
John Carter Brown Library (archive.org),2012,12,12
John Carter Brown Library (archive.org),2013,2,5
John Carter Brown Library (archive.org),2013,1,1
John Carter Brown Library (archive.org),2013,4,19
John Carter Brown Library (archive.org),2013,3,1
John Carter Brown Library (archive.org),2013,5,10
John Carter Brown Library (archive.org),2013,6,5
John Carter Brown Library (archive.org),2013,9,1
John Carter Brown Library (archive.org),2011,4,1
John Carter Brown Library (archive.org),2011,6,1
John Carter Brown Library (archive.org),2011,5,12
John Carter Brown Library (archive.org),2011,10,4
John Carter Brown Library (archive.org),2011,9,1
John Carter Brown Library (archive.org),2011,8,11
John Carter Brown Library (archive.org),2011,7,3
John Carter Brown Library (archive.org),2012,4,8
John Carter Brown Library (archive.org),2012,3,2
John Carter Brown Library (archive.org),2012,1,1
John Carter Brown Library (archive.org),2011,11,1
John Carter Brown Library (archive.org),2011,12,2
John Carter Brown Library (archive.org),2010,5,1
John Carter Brown Library (archive.org),2010,6,3
John Carter Brown Library (archive.org),2010,7,1
John Carter Brown Library (archive.org),2010,4,7
John Carter Brown Library (archive.org),2010,8,1
John Carter Brown Library (archive.org),2011,3,3
John Carter Brown Library (archive.org),2011,1,1
John Carter Brown Library (archive.org),2010,12,1
John Carter Brown Library (archive.org),2013,11,1
John Carter Brown Library (archive.org),2014,2,5
John Carter Brown Library (archive.org),2014,4,6
John Carter Brown Library (archive.org),2014,3,2
John Carter Brown Library (archive.org),2014,5,5
John Carter Brown Library (archive.org),2014,6,6
"Joint Committee on Taxation, US Congress (archive.org)",2010,8,1
"Joseph Palmer Knapp Library, UNC School of Government (archive.org)",2009,11,1
Kelly - University of Toronto (archive.org),2009,11,122
Kelly - University of Toronto (archive.org),2009,12,2
Kelly - University of Toronto (archive.org),2011,4,6
Kelly - University of Toronto (archive.org),2013,1,1
Kelly - University of Toronto (archive.org),2013,12,1
Lancaster County Historical Society (archive.org),2009,11,10
"Law Library, University of North Carolina at Chapel Hill (archive.org)",2009,11,8
Leo Baeck Institute Archives (archive.org),2009,12,8
Leo Baeck Institute Archives (archive.org),2010,1,9
Leo Baeck Institute Archives (archive.org),2011,6,3
Leo Baeck Institute Archives (archive.org),2011,5,3
Leo Baeck Institute Archives (archive.org),2011,7,1
Leo Baeck Institute Archives (archive.org),2012,5,1
Lewis & Clark Community College / NGRREC,2010,4,10
Lewis & Clark Community College / NGRREC,2010,7,2
Lewis & Clark Community College / NGRREC,2009,11,8
Library of Congress,2009,11,1938
Library of Congress,2009,12,15
Library of Congress,2010,7,12
Library of Congress,2010,6,16
Library of Congress,2010,5,53
Library of Congress,2010,4,1159
Library of Congress,2010,3,600
Library of Congress,2010,1,44
Library of Congress,2010,2,618
