Institution Name,Year,Month,Pages
Canadiana.org (archive.org),2011,9,1643
Canadiana.org (archive.org),2012,2,159
Canadiana.org (archive.org),2012,1,10032
Canadiana.org (archive.org),2011,12,4713
Canadiana.org (archive.org),2011,11,1594
Canadiana.org (archive.org),2012,5,6062
Canadiana.org (archive.org),2012,6,3043
Canadiana.org (archive.org),2012,3,23258
Canadiana.org (archive.org),2012,4,13065
Canadiana.org (archive.org),2013,6,6274
Canadiana.org (archive.org),2013,5,6331
Canadiana.org (archive.org),2013,4,9835
Canadiana.org (archive.org),2013,3,7027
Canadiana.org (archive.org),2013,7,1950
Canadiana.org (archive.org),2013,8,1405
Canadiana.org (archive.org),2013,9,7017
Canadiana.org (archive.org),2013,10,1760
Canadiana.org (archive.org),2012,10,6678
Canadiana.org (archive.org),2012,9,4318
Canadiana.org (archive.org),2012,8,2989
Canadiana.org (archive.org),2012,7,3103
Canadiana.org (archive.org),2013,1,5561
Canadiana.org (archive.org),2013,2,2701
Canadiana.org (archive.org),2012,11,2362
Canadiana.org (archive.org),2012,12,9823
Canadiana.org (archive.org),2014,3,1588
"Claire T. Carney Library, UMass Dartmouth (archive.org)",2009,11,1912
"Claire T. Carney Library, UMass Dartmouth (archive.org)",2010,7,50
Columbia University Libraries (archive.org),2010,7,9448
Columbia University Libraries (archive.org),2010,6,74201
Columbia University Libraries (archive.org),2010,5,84337
Columbia University Libraries (archive.org),2010,8,1092
Columbia University Libraries (archive.org),2010,11,3628
Columbia University Libraries (archive.org),2010,10,718
Columbia University Libraries (archive.org),2010,12,662
Columbia University Libraries (archive.org),2011,1,566
Columbia University Libraries (archive.org),2009,11,7524
Columbia University Libraries (archive.org),2012,11,1278
Columbia University Libraries (archive.org),2013,2,148
Columbia University Libraries (archive.org),2012,9,1112
Columbia University Libraries (archive.org),2012,10,283
Columbia University Libraries (archive.org),2013,10,2390
Columbia University Libraries (archive.org),2013,9,481
Columbia University Libraries (archive.org),2013,3,24
Columbia University Libraries (archive.org),2013,6,194
Columbia University Libraries (archive.org),2011,12,207
Columbia University Libraries (archive.org),2012,1,1378
Columbia University Libraries (archive.org),2014,3,1437
Columbia University Libraries (archive.org),2014,4,66
Columbia University Libraries (archive.org),2014,6,364
Columbia University Libraries (archive.org),2014,1,192
Columbia University Libraries (archive.org),2013,12,1760
Columbia University Libraries (archive.org),2013,11,2293
Cornell University Library,2012,1,1345255
Cornell University Library,2011,7,566
Cornell University Library,2011,5,2203
Cornell University Library,2013,6,36212
Cornell University Library,2013,3,331
Cornell University Library,2013,9,17916
Cornell University Library,2013,8,30548
Cornell University Library,2013,7,35437
Cornell University Library,2012,9,13206
"Dorothy H. Hoover Library, Ontario College of Art & Design (archive.org)",2009,11,2704
Duke University Libraries (archive.org),2009,11,286
Duke University Libraries (archive.org),2011,1,42
Duke University Libraries (archive.org),2010,8,1388
Duke University Libraries (archive.org),2010,7,394
Duke University Libraries (archive.org),2012,10,682
Duke University Libraries (archive.org),2013,8,1218
Duke University Libraries (archive.org),2013,10,310
Duke University Libraries (archive.org),2013,5,1214
Duke University Libraries (archive.org),2011,5,3228
Duke University Libraries (archive.org),2011,6,1116
Duke University Libraries (archive.org),2011,4,154
Duke University Libraries (archive.org),2011,7,1440
Duke University Libraries (archive.org),2011,9,1242
Duke University Libraries (archive.org),2011,10,3854
Duke University Libraries (archive.org),2011,12,1476
Duke University Libraries (archive.org),2013,11,56
Duke University Libraries (archive.org),2014,1,550
Duke University Libraries (archive.org),2014,3,1574
Earth Sciences - University of Toronto (archive.org),2011,5,28
Earth Sciences - University of Toronto (archive.org),2010,7,264
Earth Sciences - University of Toronto (archive.org),2009,11,99264
Emmanuel - University of Toronto (archive.org),2009,11,434
Environmental Services & Library Systems (archive.org),2009,11,1298
FAO Regional Office for Africa (archive.org),2009,11,2533
FAO Regional Office for Africa (archive.org),2008,4,154
FAO Regional Office for Africa (archive.org),2013,1,504
Field Museum Library,2012,7,7562
Field Museum Library,2012,8,2668
Field Museum Library,2013,6,150
Field Museum Library,2013,4,10508
Field Museum Library,2013,8,974
Field Museum Library,2011,5,6719
Field Museum Library,2011,4,642
Field Museum Library,2011,10,4172
Field Museum Library,2011,12,8506
Field Museum Library,2011,11,10916
Field Museum Library,2008,2,13418
Field Museum Library,0,0,172
Field Museum Library,2008,1,1594
Field Museum Library,2008,8,756
Field Museum Library,2008,7,110
Field Museum Library,2008,5,4414
Field Museum Library,2008,6,246
Field Museum Library,2009,5,454
Field Museum Library,2008,11,58
Field Museum Library,2009,11,794
Field Museum Library,2009,7,62
Field Museum Library,2009,6,2994
Field Museum Library,2010,7,1482
Field Museum Library,2010,5,3338
Field Museum Library,2010,6,2598
Field Museum Library,2010,4,2630
Field Museum Library,2010,1,1536
Field Museum Library,2010,8,9686
Field Museum Library,2011,1,2738
Field Museum Library,2010,12,2040
Field Museum Library,2011,2,1258
Field Museum Library,2014,3,8346
Fisher - University of Toronto (archive.org),2014,4,84
Fisher - University of Toronto (archive.org),2014,6,9246
Fisher - University of Toronto (archive.org),2014,5,34322
Fisher - University of Toronto (archive.org),2014,1,112
Fisher - University of Toronto (archive.org),2014,2,538
Fisher - University of Toronto (archive.org),2013,11,160
Fisher - University of Toronto (archive.org),2013,12,160
Fisher - University of Toronto (archive.org),2011,2,920
Fisher - University of Toronto (archive.org),2010,12,4366
Fisher - University of Toronto (archive.org),2011,1,1350
Fisher - University of Toronto (archive.org),2010,8,4236
Fisher - University of Toronto (archive.org),2010,9,3258
Fisher - University of Toronto (archive.org),2010,10,1098
Fisher - University of Toronto (archive.org),2010,1,23320
Fisher - University of Toronto (archive.org),2010,2,11488
Fisher - University of Toronto (archive.org),2010,3,1250
Fisher - University of Toronto (archive.org),2010,6,5364
Fisher - University of Toronto (archive.org),2010,5,280
Fisher - University of Toronto (archive.org),2010,7,4550
Fisher - University of Toronto (archive.org),2009,12,26185
Fisher - University of Toronto (archive.org),2009,11,6802
Fisher - University of Toronto (archive.org),2012,1,2154
Fisher - University of Toronto (archive.org),2012,6,160
Fisher - University of Toronto (archive.org),2011,4,218
Fisher - University of Toronto (archive.org),2011,5,43
Fisher - University of Toronto (archive.org),2012,8,812
Francis A. Countway Library of Medicine (archive.org),2012,10,350
Francis A. Countway Library of Medicine (archive.org),2012,9,562
Francis A. Countway Library of Medicine (archive.org),2012,11,1274
Francis A. Countway Library of Medicine (archive.org),2011,5,9590
Francis A. Countway Library of Medicine (archive.org),2011,4,626
Francis A. Countway Library of Medicine (archive.org),2011,6,12326
Francis A. Countway Library of Medicine (archive.org),2011,10,4730
Francis A. Countway Library of Medicine (archive.org),2011,9,6366
Francis A. Countway Library of Medicine (archive.org),2011,7,4400
Francis A. Countway Library of Medicine (archive.org),2011,8,5788
Francis A. Countway Library of Medicine (archive.org),2012,6,3938
Francis A. Countway Library of Medicine (archive.org),2012,3,4990
Francis A. Countway Library of Medicine (archive.org),2012,1,630
Francis A. Countway Library of Medicine (archive.org),2011,11,2170
Francis A. Countway Library of Medicine (archive.org),2011,12,2104
Francis A. Countway Library of Medicine (archive.org),2010,7,288
Francis A. Countway Library of Medicine (archive.org),2010,6,2264
Francis A. Countway Library of Medicine (archive.org),2010,4,2104
Francis A. Countway Library of Medicine (archive.org),2010,10,2978
Francis A. Countway Library of Medicine (archive.org),2010,11,2344
Francis A. Countway Library of Medicine (archive.org),2010,9,192
Francis A. Countway Library of Medicine (archive.org),2010,8,10654
Francis A. Countway Library of Medicine (archive.org),2011,1,616
Francis A. Countway Library of Medicine (archive.org),2010,12,1222
Francis A. Countway Library of Medicine (archive.org),2011,2,130
Francis A. Countway Library of Medicine (archive.org),2011,3,74
Frost - York University Libraries (archive.org),2009,11,308
Gerstein - University of Toronto (archive.org),2009,11,1789922
Gerstein - University of Toronto (archive.org),2009,12,292282
Gerstein - University of Toronto (archive.org),2011,2,602
Gerstein - University of Toronto (archive.org),2011,1,468
Gerstein - University of Toronto (archive.org),2010,8,592
Gerstein - University of Toronto (archive.org),2010,4,360
Gerstein - University of Toronto (archive.org),2010,2,3688
Gerstein - University of Toronto (archive.org),2010,1,70340
Gerstein - University of Toronto (archive.org),2010,6,81597
Gerstein - University of Toronto (archive.org),2010,5,36700
Gerstein - University of Toronto (archive.org),2010,7,17670
Gerstein - University of Toronto (archive.org),2012,5,446
Gerstein - University of Toronto (archive.org),2011,5,470
Gerstein - University of Toronto (archive.org),2013,1,2502
Gerstein - University of Toronto (archive.org),2013,10,736
Gerstein - University of Toronto (archive.org),2013,9,5714
Gerstein - University of Toronto (archive.org),2013,5,2
Harold B. Lee Library (archive.org),2013,5,1
Harold B. Lee Library (archive.org),2013,6,1100
Harold B. Lee Library (archive.org),2013,4,744
Harold B. Lee Library (archive.org),2013,9,1493
Harold B. Lee Library (archive.org),2013,10,208
Harold B. Lee Library (archive.org),2013,8,2202
Harold B. Lee Library (archive.org),2013,7,640
Harold B. Lee Library (archive.org),2012,12,1012
Harold B. Lee Library (archive.org),2012,8,1020
Harold B. Lee Library (archive.org),2012,7,1800
Harold B. Lee Library (archive.org),2011,5,2708
Harold B. Lee Library (archive.org),2011,6,8285
Harold B. Lee Library (archive.org),2011,4,1174
Harold B. Lee Library (archive.org),2011,8,2503
Harold B. Lee Library (archive.org),2011,7,3382
Harold B. Lee Library (archive.org),2011,9,2106
Harold B. Lee Library (archive.org),2011,10,268
Harold B. Lee Library (archive.org),2012,5,432
Harold B. Lee Library (archive.org),2012,3,2423
Harold B. Lee Library (archive.org),2012,4,362
Harold B. Lee Library (archive.org),2011,11,2937
Harold B. Lee Library (archive.org),2012,1,1192
Harold B. Lee Library (archive.org),2012,2,738
Harold B. Lee Library (archive.org),2010,7,1152
Harold B. Lee Library (archive.org),2010,5,264
Harold B. Lee Library (archive.org),2010,6,144
Harold B. Lee Library (archive.org),2010,4,1165
Harold B. Lee Library (archive.org),2010,9,133
Harold B. Lee Library (archive.org),2010,10,918
Harold B. Lee Library (archive.org),2011,2,2074
Harold B. Lee Library (archive.org),2011,3,2460
Harold B. Lee Library (archive.org),2009,11,1044
Harold B. Lee Library (archive.org),2013,12,732
Harold B. Lee Library (archive.org),2013,11,3966
Harold B. Lee Library (archive.org),2014,2,1019
Harold B. Lee Library (archive.org),2014,1,1218
Harold B. Lee Library (archive.org),2014,6,632
Harvard University Botany Libraries,2014,6,8159
Harvard University Botany Libraries,2014,5,230
Harvard University Botany Libraries,2014,4,20241
Harvard University Botany Libraries,2014,3,343
Harvard University Botany Libraries,2014,1,42386
Harvard University Botany Libraries,2014,2,2668
Harvard University Botany Libraries,2009,9,418
Harvard University Botany Libraries,0,0,410
Harvard University Botany Libraries,2012,8,7810
Harvard University Botany Libraries,2013,10,37163
Harvard University Botany Libraries,2013,9,840
"Harvard University, MCZ, Ernst Mayr Library",2013,9,1802
"Harvard University, MCZ, Ernst Mayr Library",2013,10,26816
"Harvard University, MCZ, Ernst Mayr Library",2013,7,59886
"Harvard University, MCZ, Ernst Mayr Library",2013,8,10254
"Harvard University, MCZ, Ernst Mayr Library",2012,8,32503
"Harvard University, MCZ, Ernst Mayr Library",2012,7,550
"Harvard University, MCZ, Ernst Mayr Library",2012,10,259
"Harvard University, MCZ, Ernst Mayr Library",2012,12,764
"Harvard University, MCZ, Ernst Mayr Library",2013,1,84243
"Harvard University, MCZ, Ernst Mayr Library",2013,2,3882
"Harvard University, MCZ, Ernst Mayr Library",2012,2,938
"Harvard University, MCZ, Ernst Mayr Library",2012,1,18411
"Harvard University, MCZ, Ernst Mayr Library",2011,11,30560
"Harvard University, MCZ, Ernst Mayr Library",2011,12,46722
"Harvard University, MCZ, Ernst Mayr Library",2012,4,30418
"Harvard University, MCZ, Ernst Mayr Library",2012,3,25301
"Harvard University, MCZ, Ernst Mayr Library",2012,6,380
"Harvard University, MCZ, Ernst Mayr Library",2011,10,61606
"Harvard University, MCZ, Ernst Mayr Library",2011,9,27970
"Harvard University, MCZ, Ernst Mayr Library",2011,7,47558
"Harvard University, MCZ, Ernst Mayr Library",2011,8,64859
"Harvard University, MCZ, Ernst Mayr Library",2011,4,7374
"Harvard University, MCZ, Ernst Mayr Library",2011,6,5851
"Harvard University, MCZ, Ernst Mayr Library",2011,5,8918
"Harvard University, MCZ, Ernst Mayr Library",2008,2,35139
"Harvard University, MCZ, Ernst Mayr Library",2008,4,46461
"Harvard University, MCZ, Ernst Mayr Library",2008,6,134737
"Harvard University, MCZ, Ernst Mayr Library",2008,5,338148
"Harvard University, MCZ, Ernst Mayr Library",2008,7,94374
"Harvard University, MCZ, Ernst Mayr Library",2008,8,77563
"Harvard University, MCZ, Ernst Mayr Library",2008,11,67048
"Harvard University, MCZ, Ernst Mayr Library",2008,12,12171
"Harvard University, MCZ, Ernst Mayr Library",2008,3,4778
"Harvard University, MCZ, Ernst Mayr Library",2008,10,93192
"Harvard University, MCZ, Ernst Mayr Library",2008,9,121088
"Harvard University, MCZ, Ernst Mayr Library",2009,5,59508
"Harvard University, MCZ, Ernst Mayr Library",2009,4,100279
"Harvard University, MCZ, Ernst Mayr Library",2009,3,99899
"Harvard University, MCZ, Ernst Mayr Library",2009,2,41542
"Harvard University, MCZ, Ernst Mayr Library",2009,9,1180
"Harvard University, MCZ, Ernst Mayr Library",2009,8,13122
"Harvard University, MCZ, Ernst Mayr Library",2009,6,80978
"Harvard University, MCZ, Ernst Mayr Library",2009,7,98891
"Harvard University, MCZ, Ernst Mayr Library",2009,12,68249
"Harvard University, MCZ, Ernst Mayr Library",2009,11,35932
"Harvard University, MCZ, Ernst Mayr Library",2011,3,58106
"Harvard University, MCZ, Ernst Mayr Library",2011,2,72796
"Harvard University, MCZ, Ernst Mayr Library",2011,1,14543
"Harvard University, MCZ, Ernst Mayr Library",2010,12,67704
"Harvard University, MCZ, Ernst Mayr Library",2010,10,71554
"Harvard University, MCZ, Ernst Mayr Library",2010,11,2140
"Harvard University, MCZ, Ernst Mayr Library",2010,9,1436
"Harvard University, MCZ, Ernst Mayr Library",2010,8,15810
"Harvard University, MCZ, Ernst Mayr Library",2010,4,20782
"Harvard University, MCZ, Ernst Mayr Library",2010,3,7813
"Harvard University, MCZ, Ernst Mayr Library",2010,1,38794
"Harvard University, MCZ, Ernst Mayr Library",2010,2,41017
"Harvard University, MCZ, Ernst Mayr Library",2010,6,27758
"Harvard University, MCZ, Ernst Mayr Library",2010,5,56786
"Harvard University, MCZ, Ernst Mayr Library",2010,7,66061
"Harvard University, MCZ, Ernst Mayr Library",2014,2,605
"Harvard University, MCZ, Ernst Mayr Library",2014,1,22219
"Harvard University, MCZ, Ernst Mayr Library",2014,3,438
"Harvard University, MCZ, Ernst Mayr Library",2014,4,13137
"Harvard University, MCZ, Ernst Mayr Library",2014,5,2459
"Harvard University, MCZ, Ernst Mayr Library",2014,6,1766
"Harvard University, MCZ, Ernst Mayr Library",2009,1,56576
"Harvard University, MCZ, Ernst Mayr Library",2009,10,36901
"Institute of Botany, CAS",2014,5,22832
"Institute of Botany, CAS",2014,4,4536
"Institute of Botany, CAS",2011,10,2332
"Institute of Botany, CAS",2012,3,196
"Institute of Botany, CAS",2011,11,289638
"Institute of Botany, CAS",2013,10,4947
Internet Archive (archive.org),2013,10,6513
Internet Archive (archive.org),2013,9,5506
Internet Archive (archive.org),2013,4,500
Internet Archive (archive.org),2013,5,506
Internet Archive (archive.org),2012,12,272
Internet Archive (archive.org),2012,11,3072
Internet Archive (archive.org),2012,10,894
Internet Archive (archive.org),2012,9,166
Internet Archive (archive.org),2012,7,1648
Internet Archive (archive.org),2011,11,3770
Internet Archive (archive.org),2012,2,150
Internet Archive (archive.org),2012,3,168
Internet Archive (archive.org),2012,4,832
Internet Archive (archive.org),2011,10,118
Internet Archive (archive.org),2011,5,150
Internet Archive (archive.org),2011,6,872
Internet Archive (archive.org),2011,4,634
Internet Archive (archive.org),2010,5,10410
Internet Archive (archive.org),2010,2,7286
Internet Archive (archive.org),2010,1,2418
Internet Archive (archive.org),2010,3,4178
Internet Archive (archive.org),2010,4,628
Internet Archive (archive.org),2010,8,1753
Internet Archive (archive.org),2010,11,966
Internet Archive (archive.org),2010,10,2900
Internet Archive (archive.org),2011,1,2012
Internet Archive (archive.org),2009,11,3545
Internet Archive (archive.org),2009,12,2933
Internet Archive (archive.org),2013,12,64
John Adams Library at the Boston Public Library (archive.org),2009,11,23618
John Adams Library at the Boston Public Library (archive.org),2011,1,838
John Adams Library at the Boston Public Library (archive.org),2011,2,1908
John Adams Library at the Boston Public Library (archive.org),2010,8,3090
John Adams Library at the Boston Public Library (archive.org),2010,9,456
John Adams Library at the Boston Public Library (archive.org),2010,1,1652
John Adams Library at the Boston Public Library (archive.org),2010,5,1206
John Adams Library at the Boston Public Library (archive.org),2012,8,1086
John Carter Brown Library (archive.org),2012,8,5194
John Carter Brown Library (archive.org),2012,7,402
John Carter Brown Library (archive.org),2012,9,1208
John Carter Brown Library (archive.org),2012,10,1154
John Carter Brown Library (archive.org),2012,11,438
John Carter Brown Library (archive.org),2012,12,3788
John Carter Brown Library (archive.org),2013,2,2132
John Carter Brown Library (archive.org),2013,1,332
John Carter Brown Library (archive.org),2013,5,3730
John Carter Brown Library (archive.org),2013,6,98
John Carter Brown Library (archive.org),2013,4,9530
John Carter Brown Library (archive.org),2013,3,428
John Carter Brown Library (archive.org),2013,9,424
John Carter Brown Library (archive.org),2011,4,46
John Carter Brown Library (archive.org),2011,6,80
John Carter Brown Library (archive.org),2011,5,3658
John Carter Brown Library (archive.org),2011,10,202
John Carter Brown Library (archive.org),2011,9,140
John Carter Brown Library (archive.org),2011,8,236
John Carter Brown Library (archive.org),2011,7,880
John Carter Brown Library (archive.org),2012,4,3514
John Carter Brown Library (archive.org),2012,3,714
John Carter Brown Library (archive.org),2012,1,426
John Carter Brown Library (archive.org),2011,11,50
John Carter Brown Library (archive.org),2011,12,830
John Carter Brown Library (archive.org),2010,5,442
John Carter Brown Library (archive.org),2010,6,1096
John Carter Brown Library (archive.org),2010,7,12
John Carter Brown Library (archive.org),2010,4,3118
John Carter Brown Library (archive.org),2010,8,268
John Carter Brown Library (archive.org),2011,3,1072
John Carter Brown Library (archive.org),2011,1,44
John Carter Brown Library (archive.org),2010,12,20
John Carter Brown Library (archive.org),2013,11,68
John Carter Brown Library (archive.org),2014,2,1384
John Carter Brown Library (archive.org),2014,4,3532
John Carter Brown Library (archive.org),2014,3,112
John Carter Brown Library (archive.org),2014,5,3188
John Carter Brown Library (archive.org),2014,6,3774
"Joint Committee on Taxation, US Congress (archive.org)",2010,8,13
"Joseph Palmer Knapp Library, UNC School of Government (archive.org)",2009,11,94
Kelly - University of Toronto (archive.org),2009,11,50320
Kelly - University of Toronto (archive.org),2009,12,1000
Kelly - University of Toronto (archive.org),2011,4,1540
Kelly - University of Toronto (archive.org),2013,1,472
Kelly - University of Toronto (archive.org),2013,12,452
Lancaster County Historical Society (archive.org),2009,11,2626
"Law Library, University of North Carolina at Chapel Hill (archive.org)",2009,11,596
Leo Baeck Institute Archives (archive.org),2009,12,8103
Leo Baeck Institute Archives (archive.org),2010,1,11527
Leo Baeck Institute Archives (archive.org),2011,6,2799
Leo Baeck Institute Archives (archive.org),2011,5,2682
Leo Baeck Institute Archives (archive.org),2011,7,899
Leo Baeck Institute Archives (archive.org),2012,5,916
