Institution Name,Year,Month,Titles
Brandeis University Libraries (archive.org),2010,1,3
Brandeis University Libraries (archive.org),2009,11,3
Brigham Young University-Idaho (archive.org),2012,5,4
Brigham Young University-Idaho (archive.org),2012,3,2
Brigham Young University-Idaho (archive.org),2012,2,1
Brigham Young University-Idaho (archive.org),2012,1,1
Brock University (archive.org),2012,12,5
Brown University Library (archive.org),2009,11,14
Bureau of Land Management (archive.org),2012,12,9
Bureau of Land Management (archive.org),2013,1,10
Bureau of Land Management (archive.org),2013,2,51
Bureau of Land Management (archive.org),2013,3,4
Bureau of Land Management (archive.org),2012,8,5
Bureau of Land Management (archive.org),2012,9,3
Bureau of Land Management (archive.org),2012,11,2
Bureau of Land Management (archive.org),2012,10,2
Bureau of Land Management (archive.org),2013,4,5
Bureau of Land Management (archive.org),2013,5,3
Bureau of Land Management (archive.org),2011,12,4
Bureau of Land Management (archive.org),2012,3,87
Bureau of Land Management (archive.org),2012,5,1
Bureau of Land Management (archive.org),2012,4,6
Bureau of Land Management (archive.org),2012,7,3
Bureau of Land Management (archive.org),2012,6,1
California Academy of Sciences Library,2012,6,14
California Academy of Sciences Library,2012,4,1
California Academy of Sciences Library,2012,5,25
California Academy of Sciences Library,2012,3,53
California Academy of Sciences Library,2011,12,2
California Academy of Sciences Library,2011,7,11
California Academy of Sciences Library,2011,10,22
California Academy of Sciences Library,2011,9,3
California Academy of Sciences Library,2009,11,8
California Academy of Sciences Library,2010,9,1
California Academy of Sciences Library,2014,2,1
California State Library (archive.org),2012,2,1
Cambridge University Library,2011,5,1
Cambridge University Library,2011,1,3
Cambridge University Library,2011,2,124
Cambridge University Library,2011,3,97
Cambridge University Library,2011,4,4
Canadiana.org (archive.org),2011,4,34
Canadiana.org (archive.org),2011,3,4
Canadiana.org (archive.org),2011,2,45
Canadiana.org (archive.org),2011,1,19
Canadiana.org (archive.org),2010,9,51
Canadiana.org (archive.org),2010,10,38
Canadiana.org (archive.org),2010,11,30
Canadiana.org (archive.org),2010,12,81
Canadiana.org (archive.org),2010,7,82
Canadiana.org (archive.org),2010,6,23
Canadiana.org (archive.org),2010,8,39
Canadiana.org (archive.org),2010,2,155
Canadiana.org (archive.org),2010,3,28
Canadiana.org (archive.org),2010,4,1
Canadiana.org (archive.org),2009,11,83
Canadiana.org (archive.org),2010,1,22
Canadiana.org (archive.org),2009,12,744
Canadiana.org (archive.org),2011,5,21
Canadiana.org (archive.org),2011,7,4
Canadiana.org (archive.org),2011,6,49
Canadiana.org (archive.org),2011,9,11
Canadiana.org (archive.org),2011,8,19
Canadiana.org (archive.org),2011,10,14
Canadiana.org (archive.org),2011,11,18
Canadiana.org (archive.org),2012,2,5
Canadiana.org (archive.org),2012,3,76
Canadiana.org (archive.org),2011,12,60
Canadiana.org (archive.org),2012,1,42
Canadiana.org (archive.org),2012,5,28
Canadiana.org (archive.org),2012,4,40
Canadiana.org (archive.org),2012,6,23
Canadiana.org (archive.org),2012,7,25
Canadiana.org (archive.org),2013,5,128
Canadiana.org (archive.org),2013,4,114
Canadiana.org (archive.org),2013,7,13
Canadiana.org (archive.org),2013,6,77
Canadiana.org (archive.org),2013,9,32
Canadiana.org (archive.org),2013,8,37
Canadiana.org (archive.org),2013,10,14
Canadiana.org (archive.org),2012,10,73
Canadiana.org (archive.org),2012,11,28
Canadiana.org (archive.org),2012,9,30
Canadiana.org (archive.org),2012,8,27
Canadiana.org (archive.org),2013,3,39
Canadiana.org (archive.org),2013,2,32
Canadiana.org (archive.org),2013,1,30
Canadiana.org (archive.org),2012,12,65
Canadiana.org (archive.org),2014,3,1
"Claire T. Carney Library, UMass Dartmouth (archive.org)",2009,11,6
"Claire T. Carney Library, UMass Dartmouth (archive.org)",2010,7,1
Columbia University Libraries (archive.org),2010,7,11
Columbia University Libraries (archive.org),2010,8,1
Columbia University Libraries (archive.org),2010,6,107
Columbia University Libraries (archive.org),2010,5,167
Columbia University Libraries (archive.org),2010,11,2
Columbia University Libraries (archive.org),2010,10,2
Columbia University Libraries (archive.org),2011,1,6
Columbia University Libraries (archive.org),2009,11,19
Columbia University Libraries (archive.org),2013,2,2
Columbia University Libraries (archive.org),2013,3,3
Columbia University Libraries (archive.org),2012,9,3
Columbia University Libraries (archive.org),2012,11,5
Columbia University Libraries (archive.org),2012,10,2
Columbia University Libraries (archive.org),2013,10,3
Columbia University Libraries (archive.org),2013,11,8
Columbia University Libraries (archive.org),2013,8,1
Columbia University Libraries (archive.org),2013,9,2
Columbia University Libraries (archive.org),2013,6,3
Columbia University Libraries (archive.org),2012,1,2
Columbia University Libraries (archive.org),2011,12,1
Columbia University Libraries (archive.org),2014,3,9
Columbia University Libraries (archive.org),2014,1,4
Columbia University Libraries (archive.org),2013,12,6
Columbia University Libraries (archive.org),2014,4,1
Columbia University Libraries (archive.org),2014,6,1
Cornell University Library,2012,1,3684
Cornell University Library,2011,7,1
Cornell University Library,2011,5,6
Cornell University Library,2013,6,63
Cornell University Library,2013,7,91
Cornell University Library,2013,8,139
Cornell University Library,2012,9,34
Cornell University Library,2013,3,1
"Dorothy H. Hoover Library, Ontario College of Art & Design (archive.org)",2009,11,8
Duke University Libraries (archive.org),2009,11,1
Duke University Libraries (archive.org),2011,1,1
Duke University Libraries (archive.org),2011,4,1
Duke University Libraries (archive.org),2010,8,2
Duke University Libraries (archive.org),2010,7,1
Duke University Libraries (archive.org),2012,10,1
Duke University Libraries (archive.org),2013,8,2
Duke University Libraries (archive.org),2013,11,1
Duke University Libraries (archive.org),2013,10,1
Duke University Libraries (archive.org),2013,5,2
Duke University Libraries (archive.org),2011,5,3
Duke University Libraries (archive.org),2011,7,4
Duke University Libraries (archive.org),2011,6,3
Duke University Libraries (archive.org),2011,10,4
Duke University Libraries (archive.org),2011,9,2
Duke University Libraries (archive.org),2011,12,2
Duke University Libraries (archive.org),2014,1,1
Duke University Libraries (archive.org),2014,3,2
Earth Sciences - University of Toronto (archive.org),2011,5,1
Earth Sciences - University of Toronto (archive.org),2010,7,1
Earth Sciences - University of Toronto (archive.org),2009,11,142
Emmanuel - University of Toronto (archive.org),2009,11,2
Environmental Services & Library Systems (archive.org),2009,11,2
FAO Regional Office for Africa (archive.org),2008,4,1
Field Museum Library,2008,4,2
Field Museum Library,2008,1,5
Field Museum Library,2008,2,128
Field Museum Library,0,0,1
Field Museum Library,2008,8,2
Field Museum Library,2008,7,1
Field Museum Library,2008,5,51
Field Museum Library,2008,6,1
Field Museum Library,2009,5,1
Field Museum Library,2009,4,1
Field Museum Library,2008,11,1
Field Museum Library,2010,1,1
Field Museum Library,2009,6,16
Field Museum Library,2009,7,1
Field Museum Library,2010,7,1
Field Museum Library,2010,5,1
Field Museum Library,2010,4,1
Field Museum Library,2010,3,33
Field Museum Library,2011,4,1
Field Museum Library,2010,11,1
Field Museum Library,2011,5,7
Field Museum Library,2011,10,3
Field Museum Library,2011,11,14
Field Museum Library,2011,12,16
Field Museum Library,2012,1,1
Field Museum Library,2012,7,17
Field Museum Library,2013,4,25
Field Museum Library,2013,6,1
Field Museum Library,2012,8,2
Field Museum Library,2013,2,1
Field Museum Library,2014,3,3
Fisher - University of Toronto (archive.org),2014,2,11
Fisher - University of Toronto (archive.org),2014,1,3
Fisher - University of Toronto (archive.org),2013,12,3
Fisher - University of Toronto (archive.org),2014,6,2
Fisher - University of Toronto (archive.org),2014,4,2
Fisher - University of Toronto (archive.org),2014,5,1
Fisher - University of Toronto (archive.org),2012,8,2
Fisher - University of Toronto (archive.org),2013,11,3
Fisher - University of Toronto (archive.org),2012,6,1
Fisher - University of Toronto (archive.org),2012,1,1
Fisher - University of Toronto (archive.org),2011,5,1
Fisher - University of Toronto (archive.org),2010,12,5
Fisher - University of Toronto (archive.org),2010,10,2
Fisher - University of Toronto (archive.org),2010,9,6
Fisher - University of Toronto (archive.org),2011,4,2
Fisher - University of Toronto (archive.org),2011,1,4
Fisher - University of Toronto (archive.org),2011,2,1
Fisher - University of Toronto (archive.org),2010,3,3
Fisher - University of Toronto (archive.org),2010,2,17
Fisher - University of Toronto (archive.org),2010,5,2
Fisher - University of Toronto (archive.org),2010,7,10
Fisher - University of Toronto (archive.org),2010,8,1
Fisher - University of Toronto (archive.org),2010,6,5
Fisher - University of Toronto (archive.org),2010,1,17
Fisher - University of Toronto (archive.org),2009,12,46
Fisher - University of Toronto (archive.org),2009,11,4
Francis A. Countway Library of Medicine (archive.org),2010,6,8
Francis A. Countway Library of Medicine (archive.org),2010,8,32
Francis A. Countway Library of Medicine (archive.org),2010,7,1
Francis A. Countway Library of Medicine (archive.org),2010,4,5
Francis A. Countway Library of Medicine (archive.org),2011,2,2
Francis A. Countway Library of Medicine (archive.org),2011,1,1
Francis A. Countway Library of Medicine (archive.org),2011,4,2
Francis A. Countway Library of Medicine (archive.org),2011,3,1
Francis A. Countway Library of Medicine (archive.org),2010,9,1
Francis A. Countway Library of Medicine (archive.org),2010,10,5
Francis A. Countway Library of Medicine (archive.org),2010,12,5
Francis A. Countway Library of Medicine (archive.org),2010,11,5
Francis A. Countway Library of Medicine (archive.org),2011,5,25
Francis A. Countway Library of Medicine (archive.org),2011,6,27
Francis A. Countway Library of Medicine (archive.org),2011,7,15
Francis A. Countway Library of Medicine (archive.org),2011,11,5
Francis A. Countway Library of Medicine (archive.org),2011,10,11
Francis A. Countway Library of Medicine (archive.org),2011,9,10
Francis A. Countway Library of Medicine (archive.org),2011,8,10
Francis A. Countway Library of Medicine (archive.org),2012,1,3
Francis A. Countway Library of Medicine (archive.org),2011,12,4
Francis A. Countway Library of Medicine (archive.org),2012,3,12
Francis A. Countway Library of Medicine (archive.org),2012,6,9
Francis A. Countway Library of Medicine (archive.org),2012,9,1
Francis A. Countway Library of Medicine (archive.org),2012,10,1
Francis A. Countway Library of Medicine (archive.org),2012,11,2
Frost - York University Libraries (archive.org),2009,11,1
Gerstein - University of Toronto (archive.org),2009,11,2452
Gerstein - University of Toronto (archive.org),2009,12,47
Gerstein - University of Toronto (archive.org),2010,1,11
Gerstein - University of Toronto (archive.org),2011,1,1
Gerstein - University of Toronto (archive.org),2010,5,8
Gerstein - University of Toronto (archive.org),2010,7,28
Gerstein - University of Toronto (archive.org),2010,6,13
Gerstein - University of Toronto (archive.org),2013,1,8
Gerstein - University of Toronto (archive.org),2013,9,5
Gerstein - University of Toronto (archive.org),2012,4,1
Gerstein - University of Toronto (archive.org),2011,5,1
Harold B. Lee Library (archive.org),2011,5,6
Harold B. Lee Library (archive.org),2011,7,6
Harold B. Lee Library (archive.org),2011,6,17
Harold B. Lee Library (archive.org),2011,8,8
Harold B. Lee Library (archive.org),2011,9,5
Harold B. Lee Library (archive.org),2011,10,1
Harold B. Lee Library (archive.org),2011,11,1
Harold B. Lee Library (archive.org),2012,7,4
Harold B. Lee Library (archive.org),2012,3,3
Harold B. Lee Library (archive.org),2012,2,2
Harold B. Lee Library (archive.org),2011,12,1
Harold B. Lee Library (archive.org),2012,1,4
Harold B. Lee Library (archive.org),2013,9,8
Harold B. Lee Library (archive.org),2013,8,18
Harold B. Lee Library (archive.org),2013,11,13
Harold B. Lee Library (archive.org),2013,10,3
Harold B. Lee Library (archive.org),2013,6,2
Harold B. Lee Library (archive.org),2013,7,2
Harold B. Lee Library (archive.org),2013,4,2
Harold B. Lee Library (archive.org),2013,5,1
Harold B. Lee Library (archive.org),2012,8,1
Harold B. Lee Library (archive.org),2010,7,5
Harold B. Lee Library (archive.org),2010,5,2
Harold B. Lee Library (archive.org),2010,4,16
Harold B. Lee Library (archive.org),2011,2,4
Harold B. Lee Library (archive.org),2011,3,3
Harold B. Lee Library (archive.org),2011,4,1
Harold B. Lee Library (archive.org),2010,10,4
Harold B. Lee Library (archive.org),2010,9,1
Harold B. Lee Library (archive.org),2009,11,2
Harold B. Lee Library (archive.org),2014,6,1
Harold B. Lee Library (archive.org),2013,12,2
Harold B. Lee Library (archive.org),2014,1,7
Harold B. Lee Library (archive.org),2014,2,13
Harvard University Botany Libraries,2014,2,3
Harvard University Botany Libraries,2014,3,1
Harvard University Botany Libraries,2014,1,7
Harvard University Botany Libraries,2013,12,3
Harvard University Botany Libraries,2014,6,8
Harvard University Botany Libraries,2014,5,1
Harvard University Botany Libraries,2014,4,14
Harvard University Botany Libraries,2009,9,4
Harvard University Botany Libraries,2010,3,1
Harvard University Botany Libraries,2012,8,22
Harvard University Botany Libraries,2013,10,34
Harvard University Botany Libraries,2013,9,4
"Harvard University, MCZ, Ernst Mayr Library",2013,8,5
"Harvard University, MCZ, Ernst Mayr Library",2013,10,28
"Harvard University, MCZ, Ernst Mayr Library",2013,7,14
"Harvard University, MCZ, Ernst Mayr Library",2013,6,9
"Harvard University, MCZ, Ernst Mayr Library",2012,8,7
"Harvard University, MCZ, Ernst Mayr Library",2013,1,56
"Harvard University, MCZ, Ernst Mayr Library",2013,2,1
"Harvard University, MCZ, Ernst Mayr Library",2011,12,17
"Harvard University, MCZ, Ernst Mayr Library",2012,2,1
"Harvard University, MCZ, Ernst Mayr Library",2012,3,3
"Harvard University, MCZ, Ernst Mayr Library",2012,4,20
"Harvard University, MCZ, Ernst Mayr Library",2011,11,4
"Harvard University, MCZ, Ernst Mayr Library",2011,10,25
"Harvard University, MCZ, Ernst Mayr Library",2011,9,1
"Harvard University, MCZ, Ernst Mayr Library",2011,8,15
"Harvard University, MCZ, Ernst Mayr Library",2011,6,3
"Harvard University, MCZ, Ernst Mayr Library",2011,7,5
"Harvard University, MCZ, Ernst Mayr Library",2011,5,2
"Harvard University, MCZ, Ernst Mayr Library",2010,3,15
"Harvard University, MCZ, Ernst Mayr Library",2010,2,13
"Harvard University, MCZ, Ernst Mayr Library",2010,4,17
"Harvard University, MCZ, Ernst Mayr Library",2010,5,12
"Harvard University, MCZ, Ernst Mayr Library",2010,7,24
"Harvard University, MCZ, Ernst Mayr Library",2010,6,25
"Harvard University, MCZ, Ernst Mayr Library",2010,8,1
"Harvard University, MCZ, Ernst Mayr Library",2010,10,89
"Harvard University, MCZ, Ernst Mayr Library",2010,11,3
"Harvard University, MCZ, Ernst Mayr Library",2010,12,30
"Harvard University, MCZ, Ernst Mayr Library",2011,4,2
"Harvard University, MCZ, Ernst Mayr Library",2011,3,6
"Harvard University, MCZ, Ernst Mayr Library",2011,2,38
"Harvard University, MCZ, Ernst Mayr Library",2011,1,43
"Harvard University, MCZ, Ernst Mayr Library",2009,9,5
"Harvard University, MCZ, Ernst Mayr Library",2009,8,10
"Harvard University, MCZ, Ernst Mayr Library",2009,7,144
"Harvard University, MCZ, Ernst Mayr Library",2009,6,136
"Harvard University, MCZ, Ernst Mayr Library",2010,1,7
"Harvard University, MCZ, Ernst Mayr Library",2009,12,44
"Harvard University, MCZ, Ernst Mayr Library",2009,11,4
"Harvard University, MCZ, Ernst Mayr Library",2008,11,89
"Harvard University, MCZ, Ernst Mayr Library",2009,1,50
"Harvard University, MCZ, Ernst Mayr Library",2008,12,15
"Harvard University, MCZ, Ernst Mayr Library",2008,10,66
"Harvard University, MCZ, Ernst Mayr Library",2008,9,62
"Harvard University, MCZ, Ernst Mayr Library",2009,4,46
"Harvard University, MCZ, Ernst Mayr Library",2009,5,68
"Harvard University, MCZ, Ernst Mayr Library",2009,3,74
"Harvard University, MCZ, Ernst Mayr Library",2009,2,50
"Harvard University, MCZ, Ernst Mayr Library",2008,6,30
"Harvard University, MCZ, Ernst Mayr Library",2008,5,241
"Harvard University, MCZ, Ernst Mayr Library",2008,7,50
"Harvard University, MCZ, Ernst Mayr Library",2008,8,28
"Harvard University, MCZ, Ernst Mayr Library",2008,2,12
"Harvard University, MCZ, Ernst Mayr Library",2008,3,7
"Harvard University, MCZ, Ernst Mayr Library",2008,4,45
"Harvard University, MCZ, Ernst Mayr Library",2014,4,28
"Harvard University, MCZ, Ernst Mayr Library",2009,10,52
"Harvard University, MCZ, Ernst Mayr Library",2014,1,55
"Harvard University, MCZ, Ernst Mayr Library",2014,2,1
Hunt Institution for Botanical Documentation (archive.org),2009,12,12
"Institute of Botany, CAS",2011,10,8
"Institute of Botany, CAS",2011,11,859
"Institute of Botany, CAS",2012,3,1
"Institute of Botany, CAS",2013,10,26
"Institute of Botany, CAS",2014,4,25
"Institute of Botany, CAS",2014,5,77
Internet Archive (archive.org),2013,10,10
Internet Archive (archive.org),2013,11,1
Internet Archive (archive.org),2013,9,12
Internet Archive (archive.org),2013,5,2
Internet Archive (archive.org),2013,4,1
Internet Archive (archive.org),2012,12,1
Internet Archive (archive.org),2012,9,1
Internet Archive (archive.org),2012,11,7
Internet Archive (archive.org),2012,10,2
Internet Archive (archive.org),2012,3,1
Internet Archive (archive.org),2012,2,1
Internet Archive (archive.org),2012,4,2
Internet Archive (archive.org),2012,7,3
Internet Archive (archive.org),2011,11,20
Internet Archive (archive.org),2011,10,2
Internet Archive (archive.org),2011,5,1
Internet Archive (archive.org),2011,6,1
Internet Archive (archive.org),2009,12,10
Internet Archive (archive.org),2010,1,8
Internet Archive (archive.org),2009,11,14
Internet Archive (archive.org),2011,1,2
Internet Archive (archive.org),2011,4,1
Internet Archive (archive.org),2010,11,3
Internet Archive (archive.org),2010,10,6
Internet Archive (archive.org),2010,8,6
Internet Archive (archive.org),2010,5,26
Internet Archive (archive.org),2010,4,3
Internet Archive (archive.org),2010,2,26
Internet Archive (archive.org),2010,3,19
John Adams Library at the Boston Public Library (archive.org),2010,5,1
John Adams Library at the Boston Public Library (archive.org),2010,7,1
John Adams Library at the Boston Public Library (archive.org),2010,9,1
John Adams Library at the Boston Public Library (archive.org),2011,1,1
John Adams Library at the Boston Public Library (archive.org),2009,11,22
John Adams Library at the Boston Public Library (archive.org),2010,1,3
John Adams Library at the Boston Public Library (archive.org),2012,8,1
John Carter Brown Library (archive.org),2012,8,8
John Carter Brown Library (archive.org),2012,9,2
John Carter Brown Library (archive.org),2012,10,1
John Carter Brown Library (archive.org),2012,11,5
John Carter Brown Library (archive.org),2012,12,10
John Carter Brown Library (archive.org),2013,1,1
John Carter Brown Library (archive.org),2013,2,4
John Carter Brown Library (archive.org),2013,3,1
John Carter Brown Library (archive.org),2013,5,5
John Carter Brown Library (archive.org),2013,6,5
John Carter Brown Library (archive.org),2013,9,1
John Carter Brown Library (archive.org),2013,11,1
John Carter Brown Library (archive.org),2011,6,1
John Carter Brown Library (archive.org),2011,7,2
John Carter Brown Library (archive.org),2011,5,5
John Carter Brown Library (archive.org),2011,10,4
John Carter Brown Library (archive.org),2011,11,1
John Carter Brown Library (archive.org),2011,8,11
John Carter Brown Library (archive.org),2011,9,1
John Carter Brown Library (archive.org),2012,7,1
John Carter Brown Library (archive.org),2012,4,4
John Carter Brown Library (archive.org),2012,3,6
John Carter Brown Library (archive.org),2011,12,1
John Carter Brown Library (archive.org),2011,1,1
John Carter Brown Library (archive.org),2011,3,3
John Carter Brown Library (archive.org),2010,12,1
John Carter Brown Library (archive.org),2010,7,1
John Carter Brown Library (archive.org),2010,8,1
John Carter Brown Library (archive.org),2010,6,1
John Carter Brown Library (archive.org),2010,5,1
John Carter Brown Library (archive.org),2010,4,3
John Carter Brown Library (archive.org),2014,5,5
John Carter Brown Library (archive.org),2014,4,6
John Carter Brown Library (archive.org),2014,2,5
John Carter Brown Library (archive.org),2014,3,2
"Joint Committee on Taxation, US Congress (archive.org)",2010,7,1
"Joseph Palmer Knapp Library, UNC School of Government (archive.org)",2009,11,1
Kelly - University of Toronto (archive.org),2009,11,109
Kelly - University of Toronto (archive.org),2009,12,2
Kelly - University of Toronto (archive.org),2011,4,6
Kelly - University of Toronto (archive.org),2013,12,1
Lancaster County Historical Society (archive.org),2009,11,1
"Law Library, University of North Carolina at Chapel Hill (archive.org)",2009,11,8
Leo Baeck Institute Archives (archive.org),2009,11,1
Leo Baeck Institute Archives (archive.org),2010,1,1
Leo Baeck Institute Archives (archive.org),2011,5,1
Lewis & Clark Community College / NGRREC,2009,11,8
Lewis & Clark Community College / NGRREC,2010,7,2
Lewis and Clark Community College and the National Great Rivers Research and Education Center (archive.org),2010,4,10
Library of Congress,2010,4,1148
Library of Congress,2010,5,52
Library of Congress,2010,3,597
Library of Congress,2010,2,608
Library of Congress,2010,7,13
Library of Congress,2010,6,15
Library of Congress,2010,8,5
Library of Congress,2011,4,20
Library of Congress,2011,3,29
Library of Congress,2011,1,217
Library of Congress,2011,2,247
Library of Congress,2010,12,112
Library of Congress,2010,11,5
Library of Congress,2010,9,8
Library of Congress,2010,10,20
Library of Congress,2009,11,1895
Library of Congress,2010,1,42
Library of Congress,2009,12,15
Library of Congress,2011,5,14
Library of Congress,2011,7,2
Library of Congress,2011,6,15
Library of Congress,2011,9,36
Library of Congress,2011,8,2
Library of Congress,2011,10,7
Library of Congress,2011,12,1
Library of Congress,2012,1,86
Library of Congress,2012,3,184
Library of Congress,2012,2,147
Library of Congress,2012,4,91
Library of Congress,2012,5,162
Library of Congress,2012,7,14
Library of Congress,2012,6,6
Library of Congress,2013,11,174
Library of Congress,2013,10,17
Library of Congress,2013,9,2
Library of Congress,2013,8,1
Library of Congress,2013,6,1
Library of Congress,2013,3,1
Library of Congress,2013,1,3
Library of Congress,2012,11,3
Library of Congress,2012,10,16
Library of Congress,2012,9,6
Library of Congress,2012,8,3
Library of Congress,2013,12,3
Library of Congress,2014,3,14
Library of Congress,2014,2,3
Library of Congress,2014,5,1
Library of Congress,2009,10,3
Lincoln Financial Collection (archive.org),2012,6,1
Lincoln Financial Collection (archive.org),2012,5,1
Lincoln Financial Collection (archive.org),2012,4,3
Lincoln Financial Collection (archive.org),2011,12,1
Lincoln Financial Collection (archive.org),2011,5,2
Lincoln Financial Collection (archive.org),2010,1,3
Lincoln Financial Collection (archive.org),2010,10,1
Lincoln Financial Collection (archive.org),2011,2,1
Lincoln Financial Collection (archive.org),2011,3,1
Lincoln Financial Collection (archive.org),2011,4,2
Mathematical Sciences - University of Toronto (archive.org),2010,4,2
"MBLWHOI Library, Woods Hole",2011,3,1
"MBLWHOI Library, Woods Hole",2010,10,59
"MBLWHOI Library, Woods Hole",2010,9,45
"MBLWHOI Library, Woods Hole",2010,11,798
"MBLWHOI Library, Woods Hole",2009,12,233
"MBLWHOI Library, Woods Hole",2009,6,29
"MBLWHOI Library, Woods Hole",2009,7,9
"MBLWHOI Library, Woods Hole",2009,8,23
"MBLWHOI Library, Woods Hole",2009,11,235
"MBLWHOI Library, Woods Hole",2008,4,409
"MBLWHOI Library, Woods Hole",2008,3,1
"MBLWHOI Library, Woods Hole",2008,1,904
"MBLWHOI Library, Woods Hole",2008,2,221
"MBLWHOI Library, Woods Hole",2008,8,197
"MBLWHOI Library, Woods Hole",2008,7,179
"MBLWHOI Library, Woods Hole",2008,5,308
"MBLWHOI Library, Woods Hole",2008,6,442
"MBLWHOI Library, Woods Hole",2009,2,81
"MBLWHOI Library, Woods Hole",2009,3,4
"MBLWHOI Library, Woods Hole",2009,5,25
"MBLWHOI Library, Woods Hole",2009,4,1
"MBLWHOI Library, Woods Hole",2008,9,57
"MBLWHOI Library, Woods Hole",2008,10,37
"MBLWHOI Library, Woods Hole",2008,12,14
"MBLWHOI Library, Woods Hole",2009,1,130
"MBLWHOI Library, Woods Hole",2008,11,46
"MBLWHOI Library, Woods Hole",2011,5,2
"MBLWHOI Library, Woods Hole",2011,6,2
"MBLWHOI Library, Woods Hole",2011,8,2
"MBLWHOI Library, Woods Hole",2012,2,1
